Symbol,Name,Price,Price/Earnings,Dividend Yield,Earnings/Share,Market Cap,EBITDA,Price/Sales,Price/Book,good_pe,good_eps,good_mc,good_pb,good_div,good_stock,predicted_good_stock
MMM,3M,152.2,21.286713,0.0199,7.15,83294183424.0,8117000192.0,2.5520616,17.855467,True,True,True,False,False,0,0
AOS,A. O. Smith,67.3,18.539946,0.0196,3.63,9758164992.0,809100032.0,2.5060778,5.091157,True,True,True,False,False,0,0
ABT,Abbott Laboratories,127.93,16.744764,0.0202,7.64,221889478656.0,10824999936.0,5.3834457,5.5757494,True,True,True,False,True,0,0
ABBV,AbbVie,183.9,64.3007,0.0373,2.86,324977033216.0,25629999104.0,5.8519626,53.88221,False,True,True,False,True,0,0
ACN,Accenture,384.95,32.294464,0.017,11.92,240778526720.0,11065912320.0,3.7101948,8.508687,False,True,True,False,False,0,0
AES,AES Corporation,11.0,7.6388884,0.0615,1.44,7821297152.0,3334000128.0,0.63670605,2.3773503,True,True,True,True,False,0,1
AFL,Aflac,107.38,15.955423,0.0214,6.73,59652595712.0,4779250176.0,3.4477284,2.4075692,True,True,True,True,True,1,0
APD,Air Products,335.26,19.469223,0.0214,17.22,74554785792.0,4296600064.0,6.1612473,4.380537,True,True,True,False,True,0,0
ARE,Alexandria Real Estate Equities,97.35,54.083332,0.051999997,1.8,16850505728.0,1905123968.0,5.461276,0.9204281,False,True,True,True,True,0,0
ALLE,Allegion,132.73,20.42,0.014400001,6.5,11538124800.0,888400000.0,3.098315,7.3441043,True,True,True,False,False,0,0
LNT,Alliant Energy,58.88,22.910507,0.0342,2.57,15108549632.0,1636999936.0,3.809518,2.168293,True,True,True,True,True,1,0
ALL,Allstate,192.33,12.432449,0.019,15.47,50929561600.0,6192999936.0,0.8157605,2.7001262,True,True,True,True,False,0,0
GOOGL,Alphabet Inc. (Class A),204.02,27.09429,0.004,7.53,2507303813120.0,123469996032.0,7.377482,7.965486,False,True,True,False,False,0,0
GOOG,Alphabet Inc. (Class C),205.6,27.267906,0.0039,7.54,2504763113472.0,123469996032.0,7.3700066,8.027174,False,True,True,False,False,0,0
AMCR,Amcor,9.72,18.339624,0.0523,0.53,14092055552.0,1904000000.0,1.0400041,3.5827498,True,True,True,False,True,0,1
AEE,Ameren,94.2,22.164705,0.028499998,4.25,25144616960.0,3264000000.0,3.5625699,2.124732,True,True,True,True,True,1,0
AEP,American Electric Power,98.36,19.830645,0.0379,4.96,52383092736.0,7258299904.0,2.6723068,1.967633,True,True,True,True,True,1,0
AIG,American International Group,73.66,14.644135,0.0212,5.03,45946826752.0,8501000192.0,1.0143012,1.0308154,True,True,True,True,True,1,0
AMT,American Tower,184.95,44.673912,0.0349,4.14,86425100288.0,6966099968.0,7.7388453,23.732836,False,True,True,False,True,0,0
AWK,American Water Works,124.64,24.681187,0.0247,5.05,24291588096.0,2408000000.0,5.380197,2.3443112,True,True,True,True,True,1,0
AME,Ametek,184.56,32.09739,0.006,5.75,42690203648.0,2138388992.0,6.1776185,4.470064,False,True,True,False,False,0,0
AMGN,Amgen,285.42,36.220814,0.0335,7.88,153422675968.0,12247000064.0,4.7157645,20.38132,False,True,True,False,True,0,0
APH,Amphenol,70.78,36.864582,0.0091,1.92,85333073920.0,3586299904.0,5.9956913,9.025759,False,True,True,False,False,0,0
ADI,Analog Devices,211.89,64.798164,0.0165,3.27,105128370176.0,4361349120.0,10.837489,2.9895453,False,True,True,True,False,0,0
AON,Aon,370.82,31.72113,0.0073,11.69,80195756032.0,4295000064.0,5.37289,12.857391,False,True,True,False,False,0,0
APA,APA Corporation,21.93,3.115057,0.0435,7.04,8112937984.0,5047000064.0,0.9059674,1.5862569,True,True,True,True,True,1,1
AAPL,Apple Inc.,236.0,37.76,0.0042,6.25,3572851277824.0,134660997120.0,9.1369095,62.649323,False,True,True,False,False,0,0
AMAT,Applied Materials,180.35,21.093567,0.0086,8.55,147683934208.0,8204000256.0,5.499513,7.8917427,True,True,True,False,False,0,0
ADM,Archer Daniels Midland,51.23,14.39045,0.0379,3.56,24515297280.0,3988000000.0,0.27617267,1.0890499,True,True,True,True,True,1,1
AJG,Arthur J. Gallagher & Co.,301.82,46.505394,0.0087,6.49,75395547136.0,3382200064.0,7.067648,5.4349666,False,True,True,False,False,0,0
AIZ,Assurant,215.19,15.381701,0.0146,13.99,11036535808.0,1241900032.0,0.93881625,2.1037042,True,True,True,True,False,0,0
T,AT&T,23.73,16.142857,0.048899997,1.47,172367593472.0,42773000192.0,1.4121547,1.6633955,True,True,True,True,True,1,1
ATO,Atmos Energy,142.51,20.8653,0.023699999,6.83,22180255744.0,1991972992.0,5.416576,1.8157609,True,True,True,True,True,1,0
ADP,Automatic Data Processing,303.01,31.629438,0.020599999,9.58,123285987328.0,5733100032.0,6.3149424,27.192858,False,True,True,False,True,0,0
